VG,Id
0,-4.22E-09
-0.05,1.11E-09
-0.1,1.01E-09
-0.15,1.00E-09
-0.2,9.56E-10
-0.25,2.22E-10
-0.3,9.76E-10
-0.35,1.11E-09
-0.4,2.60E-10
-0.45,2.67E-10
-0.5,7.56E-10
-0.55,1.17E-09
-0.6,4.55E-10
-0.65,7.11E-10
-0.7,1.62E-09
-0.75,4.65E-09
-0.8,1.37E-08
-0.85,3.41E-08
-0.9,7.02E-08
-0.95,1.25E-07
-1,1.99E-07
-1.05,2.94E-07
-1.1,4.11E-07
-1.15,5.50E-07
-1.2,7.22E-07
-1.25,9.04E-07
-1.3,1.12E-06
-1.35,1.36E-06
-1.4,1.62E-06
-1.45,1.92E-06
-1.5,2.25E-06
-1.55,2.60E-06
-1.6,2.99E-06
-1.65,3.41E-06
-1.7,3.86E-06
-1.75,4.35E-06
-1.8,4.87E-06
-1.85,5.42E-06
-1.9,6.01E-06
-1.95,6.63E-06
-2,7.28E-06
